run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR2603917	SAMEA4699623	ERX2620573	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/007/ERR2603917/ERR2603917.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603917/523a_C.Run1.sort.hg19.dedup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603917/523a_C.Run1.sort.hg19.dedup.bam.bai		
ERR2603918	SAMEA4699624	ERX2620574	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/008/ERR2603918/ERR2603918.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603918/Ala1_C.Run1.sort.hg19.dedup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603918/Ala1_C.Run1.sort.hg19.dedup.bam.bai		
ERR2603919	SAMEA4699625	ERX2620575	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2603919/ERR2603919.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603919/B_3.Run1.AR.sort.hg19.dedup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603919/B_3.Run1.AR.sort.hg19.dedup.bam.bai		
ERR2603920	SAMEA4699626	ERX2620576	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/000/ERR2603920/ERR2603920.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603920/B_4.Run1.AR.sort.hg19.dedup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603920/B_4.Run1.AR.sort.hg19.dedup.bam.bai		
ERR2603922	SAMEA4699628	ERX2620578	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/002/ERR2603922/ERR2603922.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603922/CK-01.dedup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603922/CK-01.dedup.bam.bai		
ERR2603923	SAMEA4699629	ERX2620579	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2603923/ERR2603923.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603923/CK-02.dedup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603923/CK-02.dedup.bam.bai		
ERR2603924	SAMEA4699630	ERX2620580	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/004/ERR2603924/ERR2603924.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603924/CK-03.Run1.Wegmann.hg19.dedup.RG.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603924/CK-03.Run1.Wegmann.hg19.dedup.RG.bam.bai		
ERR2603925	SAMEA4699631	ERX2620581	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/005/ERR2603925/ERR2603925.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603925/CK-03.Run2.Wegmann.hg19.dedup.RG.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603925/CK-03.Run2.Wegmann.hg19.dedup.RG.bam.bai		
ERR2603928	SAMEA4699634	ERX2620584	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/008/ERR2603928/ERR2603928.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603928/CK-07.Run2.Wegmann.hg19.dedup.RG.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603928/CK-07.Run2.Wegmann.hg19.dedup.RG.bam.bai		
ERR2603929	SAMEA4699635	ERX2620585	PRJEB25445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2603929/ERR2603929.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603929/CK-08.dedup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603929/CK-08.dedup.bam.bai		
